date,GDP_mp,GVA_bp,indir_net_tax,C,C_np,G,I_gcf,I_inven,I_acq,dom_DEM,EX,IM,I_tot,invtry_RAT,u_RATE,prod_IDX,wage_IDX,cpi_IDX,dcpi_IDX,cpi_IDX_imf,fcpi_WIDX,IMcpi_IDX,ecpi_IDX,i_FOR,i_UK,i_g5y,er_IDX,Y_star,Y_GAP,u_STAR,u_GAP,cpi_INFL_imf,dcpi_INFL,dcpi_DEV,r_UK,i5y_SPR,IMcpi_INFL,IMcpi_INFL_adj,ecpi_INFL,NX_ratio,dNX,dNX_lag1,i_STAR,i_GAP,r_GAP,i_DIFFL,di_DIFFL,rer,drer,prod_GAP,wage_GAP,IMcpi_GAP,ecpi_GAP,i5y_GAP,zlb,bpu1,bpu2,bpu3,bpu4,bpy,bpp,bpr
1998-04-01,13.017651540198026,12.90846446245494,10.749076811237298,12.481470828998674,9.257414779362112,11.351864295952563,11.21820535016673,2303,718,12.992051938018903,11.61329554911284,11.526266081907302,11.257968697131151,0.005114459062119691,6.3,4.345500648950942,4.484131857611035,4.26689632742025,4.078194546598394,4.371895965755715,4.358772116914384,4.120661870539474,3.8740851660877538,4.708133333333333,7.3279,6.1066,4.608977927330919,12.907825712773024,0.06387496819164264,6.3800813030151975,-0.08008130301519756,2.028849963344026,1.3085239548655814,-0.9414760451344186,8.269376045134418,-1.2212999999999994,-3.665749084401426,0.8940511183844547,-5.195973893071093,0.08702946720553761,-2.6375179968644247,-1.469047397015899,6.742575042126956,0.5853249578730442,1.5268010030074628,2.619766666666667,0.13343333333333351,4.622101776172251,0.6921406938905861,-0.028104552718634244,1.252543090973078,-1.4996287491695877,-1.3975816019595695,-0.2693639276421348,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998-07-01,13.019233704897863,12.911074283537124,10.7406917860895,12.49743169959187,9.242613932526478,11.361521010810995,11.208422714788103,2199,967,12.99578149518221,11.608662826246826,11.530136501700582,11.250456194989852,0.004875777430405428,6.2,4.34421318045535,4.484131857611035,4.26549281841793,4.083188314778881,4.372829672639608,4.3587362390143705,4.11414718951828,3.8660529943904898,4.594533333333334,7.5,5.8876,4.605549114185733,12.915943295287564,-0.4869011750440643,6.268213525538733,-0.06821352553873297,1.6467085812323923,1.3085239548655814,-0.9414760451344186,8.441476045134419,-1.6124,-3.373813963185057,0.8933022072973088,-4.211148535012654,0.0785263245462442,-0.8503142659293417,-2.6375179968644247,6.582598589313159,0.9174014106868404,1.858877455821259,2.9054666666666664,0.2856999999999994,4.6196425478109715,-0.24592283612792087,-0.7998016097613159,0.9002215848062721,-1.4367546420638366,-0.8374940896093432,-0.7659565917610004,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998-10-01,13.025713700874697,12.918755260830801,10.735679026718607,12.4964897244397,9.23151460720759,11.360857614547074,11.228876783750868,-3081,829,13.003435686880453,11.600927184741854,11.527577596302542,11.19850234999397,-0.006787285460317181,6.1,4.356849120279986,4.484131857611035,4.2710950739666,4.089395659353214,4.37841367970388,4.360965504335962,4.120661870539474,3.8687375597611586,4.325666666666667,6.8555,4.8697,4.575360252215663,12.92403873011658,-0.528346928577796,6.1585512647679606,-0.05855126476796077,1.6846444269549288,1.3085239548654926,-0.9414760451345074,7.796976045134508,-1.9858000000000002,-2.4058899007693313,0.9006202011183717,-1.8592833076616078,0.07334958843931183,-0.5176736106932367,-0.8503142659293417,6.42342200395476,0.4320779960452402,1.3735540411797476,2.5298333333333334,-0.37563333333333304,4.592808427583581,-2.6834120227390734,-0.17911096057944353,0.5451124114785096,-0.6952392410341901,1.0923345832238265,-1.2447573915406136,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999-01-01,13.032534945329239,12.924302606457582,10.754748976189765,12.506765953542383,9.224834818126634,11.359331296928223,11.229527535790833,1452,803,13.017180623723684,11.605696059118646,11.560676994707515,11.259026270486016,0.003176937012628981,6.2,4.356625608665552,4.484131857611035,4.2710950739666,4.09104112266143,4.380731177844242,4.364238356593662,4.11414718951828,3.8687375597611586,4.1462666666666665,5.6944,4.5427,4.57627676233311,12.932106460301927,-0.780385384434618,6.051357265474215,0.14864273452578486,1.9635974516859278,1.4098924379502442,-0.8401075620497558,6.534507562049756,-1.1517,-2.1019367224075935,0.8990162534271149,-0.8010723746078696,0.04501906441113057,-2.833052402818126,-0.5176736106932367,6.2662015097104735,-0.5718015097104734,0.2683060523392824,1.5481333333333334,-0.9817,4.5927695835836895,-0.0038843999891291503,-0.8437864853232526,0.18486767920287756,-0.6123495893363001,1.7335210766018099,-0.5153574957141076,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999-04-01,13.036173481088856,12.927539997467406,10.76223391374564,12.526005282528107,9.262743050769231,11.39324062202425,11.229315091888502,312,516,13.023243349335957,11.610451370059467,11.575111220524203,11.240250224624969,6.801682980532363e-4,6,4.357313868556675,4.484131857611035,4.280824129164719,4.0922934709778955,4.39040644336766,4.368383178159294,4.1059436980654525,3.8660529943904898,3.9027333333333334,5.2008,5.0483,4.595711594211443,12.940137626717165,-1.259762924976,5.946857677888345,0.05314232211165518,1.8510477611945575,1.4098924379501554,-0.8401075620498446,6.040907562049845,-0.15249999999999986,-1.4718172474021962,0.8934293664635351,-0.8032171697264001,0.035340149535263876,-0.9678914875866695,-2.833052402818126,6.112363378986538,-0.9115633789865379,-0.07145581693669334,1.2980666666666667,-0.25006666666666666,4.6177348594198095,2.496527583612007,-1.416061849399869,-0.1832011990646979,-0.19482119974921774,1.3209920711869243,0.38122990035509285,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999-07-01,13.052771040559632,12.945289626757097,10.768337610741888,12.53656633189621,9.263691547473178,11.404304082906213,11.239921802297182,-251,665,13.03363051951636,11.668962935117186,11.606925696257418,11.245346628222164,-5.381796662428412e-4,5.9,4.370319840899018,4.484131857611035,4.278054044290903,4.0972872391583826,4.389029980658938,4.371395050511217,4.110873864173311,3.8687375597611586,3.9690000000000003,5.0654,5.8413,4.591793110546414,12.948118492827195,-0.2828866070098937,5.845371553950295,0.05462844604970582,1.620030801932959,1.4098924379501554,-0.8401075620498446,5.905507562049845,0.7759,-0.3273325344968825,0.8952654802176238,0.26845653706688566,0.06203723885976764,2.6697089324503764,-0.9678914875866695,5.962976508245626,-0.8975765082456261,-0.05746894619578147,1.0964,-0.20166666666666666,4.609428040694135,-0.8306818725674958,-0.7541715515596613,-0.5618983526678011,0.7490548939999953,1.9894664609276456,1.2108136997383931,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999-10-01,13.068734726614625,12.9617179858554,10.780080657551737,12.544867183520955,9.27837278236801,11.40534025429029,11.232735258276742,5435,1052,13.050652529850328,11.685373437965884,11.627405273195235,11.3150962841344,0.01146885788323078,5.8,4.384342524844929,4.484131857611035,4.283586561860629,4.103494583732716,4.393610840707904,4.376971672813068,4.11251186617755,3.8767482835072373,4.197333333333334,5.4048,6.1127,4.610530792230187,12.95602744857864,0.5690537276760378,5.747251159551315,0.05274884044868533,1.5197161004024018,1.4098924379501554,-0.8401075620498446,6.244907562049844,0.7079000000000004,-0.8150004361924701,0.891982301280383,0.8010723746078696,0.057968164770649366,-0.4069074089118274,2.6697089324503764,5.818540066838541,-0.4137400668385416,0.426367495211303,1.207466666666666,0.11106666666666598,4.6271699601250225,1.7741919430887876,0.013840768771310706,-0.953913410200605,0.07639262767700217,2.1257869184797626,1.0492645368194609,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-01,13.081982952044727,12.973315655312973,10.807928350453047,12.55769384076622,9.278839788400875,11.399599979658106,11.273423847043201,3874,509,13.061761630326265,11.70414894844823,11.637759141891555,11.327619459135313,0.008067270288955711,5.8,4.410059453651897,4.484131857611035,4.278054044290903,4.101091458514931,4.391781014030827,4.385657610822872,4.123903364463645,3.879404327565354,4.572333333333334,5.8672,6.2041,4.626965923758546,12.963841115876823,0.9474539436149639,5.652882903361445,0.14711709663855488,1.1049836186584727,1.0050335853501124,-1.2449664146498876,7.112166414649888,0.3369,0.9756174945365181,0.8912759316614425,1.0666767804195398,0.06638980655667481,0.8421641786025447,-0.4069074089118274,5.678992238798439,0.18820776120156146,1.4331741758514491,1.2948666666666666,0.08740000000000059,4.633089326966501,0.5919366841478535,1.9582562399010974,-1.3615848137868598,1.700794077265022,2.0004755086480883,0.590696287419644,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-04-01,13.089162270015434,12.9815529855981,10.80594301695381,12.568588498101908,9.295049099903137,11.429130727226962,11.330359878403431,-3292,366,13.06895627154326,11.736013014716379,11.669057038673943,11.294607750551283,-0.00680626540300038,5.5,4.406024529864684,4.484131857611035,4.286341384539473,4.102343806831397,4.400896847438837,4.38994774662327,4.127134385045092,3.8606621457556134,5.115666666666667,6,5.8512,4.614945253958865,12.971539673212876,1.0013312385224495,5.562686162076004,-0.06268616207600469,1.0490404071176407,1.0050335853501124,-1.2449664146498876,7.2449664146498876,-0.1487999999999996,2.1190686979639217,0.8942975827296517,-0.5390848634876377,0.0669559760424363,0.056616948576149184,0.8421641786025447,5.5440126206166935,0.4559873793833061,1.7009537940331936,0.8843333333333332,-0.4105333333333334,4.625894354774432,-0.7194972192069216,0.9369842683842672,-1.7866548096689319,2.6999225666033357,0.006324623900838544,0.0234670370247686,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-07-01,13.095232645013944,12.98835644315638,10.80555764877031,12.58071421862603,9.308555419473137,11.437425755568581,11.261562464081122,5022,541,13.078963061869274,11.741239625614655,11.689329548000146,11.330647907208302,0.010320231311277657,5.3,4.412040098188682,4.492001487882454,4.286341384539473,4.107337575011884,4.400896847438837,4.395182036170707,4.147885329150131,3.8660529943904898,5.382333333333333,6,5.7308,4.598519116581458,12.979109220665068,0.9247222491313035,5.477172260575708,-0.17717226057570867,1.18668667798989,1.0050335853501124,-1.2449664146498876,7.2449664146498876,-0.26919999999999966,3.7011464976819397,0.9020045853878436,-0.26845653706688566,0.05191007761450983,-1.5045898427926474,0.056616948576149184,5.413398438635435,0.586601561364565,1.8315679760144525,0.6176666666666666,-0.2666666666666666,4.604233927849587,-2.16604269248446,0.931554566688602,-1.4430516264387314,4.16162430655132,-0.11301300245031842,-0.17273431405897405,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
